project_name,rera_registration_no,rera_status,source_url,developer_name,developer_address,developer_phone,developer_email,developer_website,developer_cin,developer_pan,plot_no,sector,city,district,state,pin_code,tehsil,project_type,applicant_type,land_area,total_units,units_sold,units_available,project_address,configurations,sizes,project_size,total_floors,launch_price,current_price,density,proposed_far,permissible_far,total_licensed_land,start_date,completion_date,extended_date,total_project_cost,escrow_account,amenities,project_description,other_details
GODREJ MERIDIEN PHASE III,RERA-GRG-517-2019,,https://reratracker.com/godrej-meridien-phase-iii-in-gurugram-by-godrej-real-view-developers-private-limited-rtid3706,Godrej,,8095621090,reranotice_haryana@godrejproperties.com,,,,,106,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,14.793 (Acre),,,,SECTOR 106,,48x48,,,,,,184,1.84,14.793 (Acre),,,,,,,,
Godrej Miraya,RERA-GRG-1698-2024,,https://reratracker.com/godrej-miraya-in-gurugram-by-godrej-projects-development-limited-rtid3708,Godrej,,1244842300,godrej43.ggn@godrejproperties.com,,,,,43,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.1575 (Acre),248,,,"SECTOR 43, URBAN ESTATE, GURUGRAM II",,48x48,,32,,,,3.197,3.198,5.1575 (Acre),,,,,,,,
GODREJ SORA,RERA-GRG-1967-2025,,https://reratracker.com/godrej-sora-in-gurugram-by-godrej-properties-limited-rtid5204,Godrej,,0226169850,sec53_359.gurugram@godrejproperties.com,,,,,53,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,14569.2000 (Sqr/mtrs),244,,,"GH-21, URBAN ESTATE II, SECTOR 53, GURUGRAM",,48x48,,30,,,,4.10,4.12,14569.200 (Sqr/mtrs),,,,,,,,
Godrej Vrikshya,RERA-GRG-1650-2024,,https://reratracker.com/godrej-vrikshya-in-gurugram-by-godrej-vestamark-llp-rtid3712,Godrej,,0226169850,godrej103.ggn@godrejproperties.com,,,,,103,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,14.86225 (Acre),615,,,SECTOR 103,,48x48,,27,,,,1.859428,1.87,14.86225 (Acre),,,,,,,,
Godrej Zenith,RERA-GRG-1536-2024,,https://reratracker.com/godrej-zenith-in-gurugram-by-godrej-properties-ltd-rtid3713,Godrej,,0226169850,godrej89.ggn@godrejproperties.com,,,,,89,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,14.20625 (Acre),1314,,,"SECTOR 89, GURUGRAM, HARYANA",,48x48,,36,,,,3.58998,3.62,14.20625 (Acre),,,,,,,,
HCBS Twin Horizon,RERA-GRG-1888-2025,,https://reratracker.com/hcbs-twin-horizon-in-gurugram-by-hcbs-promoters-developers-pvt-ltd-rtid5149,HCBS,,9311490800,hcbs.developers@gmail.com,,,,,102,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.2902 (Acre),268,,,"VILLAGE DHANKOT, TEHSIL KADIPR, SECTOR 102, GURUGRAM",,48x48,,34,,,,2.9283,2.9284,5.2902 (Acre),,,,,,,,
HERO HOMES,RERA-GRG-294-2019,,https://reratracker.com/hero-homes-in-gurugram-by-vikas-park-pvt-ltd-rtid3760,Hero Homes,,9810149360,COMPLIANCE@HEROREALTY.IN,,,,,104,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,ONGOING,,9.053 (Acre),,,,"SECTOR-104, DHANWAPUR, GURUGRAM",,48x48,,,,,,3.5,3.5,34.0229 (Acre),,,,,,,,
Hero The Palatial Tower E,RERA-GRG-1793-2024,,https://reratracker.com/hero-the-palatial-tower-e-in-gurugram-by-hero-realty-private-limited-rtid5135,Hero Homes,,9810149360,deepak.sharma1@herorealty.in,,,,,104,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,1.3980 (Acre),170,,,"SECTOR -104, VILLAGE GURUGRAM \u0026 TIKAMPUR",,48x48,,42,,,,3.62,3.62,11.0901 (Acre),,,,,,,,
INDEPENDENT FLOORS AT DLF GARDENCITY ENCLAVE PHASE 2,RERA-GRG-1223-2022,,https://reratracker.com/independent-floors-at-dlf-gardencity-enclave-phase-2-in-gurugram-by-dlf-limited-rtid3793,DLF,,9711080232,haryanarera@dlf.in,,,,,93,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,20277 (Sqr/mtrs),,,,SECTOR 93,,48x48,,,,,,2.64,2.64,108936.11 (Sqr/mtrs),,,,,,,,
INDIABULLS ESTATE \u0026 CLUB - I,RERA-GRG-1755-2024,,https://reratracker.com/indiabulls-estate-club-i-in-gurugram-by-indiabulls-pharmacare-limited-rtid3801,Indiabulls,,9810627066,luxurysales@indiabullsestate.com,,,,,104,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,11.6211 (Acre),387,,,"SECTOR 104, VILLAGE DHANWAPUR AND GURGAON, GURUGRAM, HARYANA",,48x48,,44,,,,54.68,300,34.0229 (Acre),,,,,,,,
Krisumi Waterfall Suites 2,RERA-GRG-1573-2024,,https://reratracker.com/krisumi-waterfall-suites-2-in-gurugram-by-krisumi-corporation-pvt-ltd-rtid4304,Krisumi Corporation,,7303183987,info@krisumi.com,,,,,36A,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,0.7850 (Acre),439,,,SECTOR- 36A,,48x48,,34,,,,2.62,2.62,30.3813 (Acre),,,,,,,,
Krisumi Waterside Residences The Forest Reserve Phase 1,RERA-GRG-1886-2025,,https://reratracker.com/krisumi-waterside-residences-the-forest-reserve-phase-1-in-gurugram-by-krisumi-corporation-pvt-ltd-rtid4305,Krisumi Corporation,,9311337714,akash@krisumi.com,,,,,36A,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,5.1743 (Acre),298,,,SECTOR- 36A,,48x48,,42,,,,350,350,33.3813 (Acre),2026-04-21,,,,,,,
KRISUMI WATERSIDE RESIDENCES,RERA-GRG-1562-2024,,https://reratracker.com/krisumi-waterside-residences-in-gurugram-by-krisumi-corporation-pvt-ltd-rtid3827,Krisumi Corporation,,9811041255,info@krisumi.com,,,,,36A,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,5.0951 (Acre),612,,,"SECTOR- 36A, GURUGRAM, HARYANA",,48x48,,43,,,,3.62,3.62,30.3813 (Acre),,,,,,,,
M3M Altitude,RERA-GRG-1607-2024,,https://reratracker.com/m3m-altitude-in-gurugram-by-manglam-multiplex-private-limited-rtid3852,M3M,,7669610540,multiplexmanglam@gmail.com,,,,,65,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,2.79 (Acre),342,,,"SECTOR 65, GURUGRAM",,48x48,,31,,,,1.935,1.935,60.025 (Acre),,,,,,,,
M3M ANTALYA HILLS PHASE II,RERA-GRG-1521-2023,,https://reratracker.com/m3m-antalya-hills-phase-ii-in-gurugram-by-loon-land-development-limited-rtid3855,M3M,,7669610540,loonlanddevelopmentltd@gmail.com,,,,,79,Gurugram,GURUGRAM,Haryana,,MANESAR,ONGOING,,10.074 (Acre),,,,"SECTOR-79, GURUGRAM, HARYANA",,48x48,,,,,,2.64,2.64,24.74375 (Acre),,,,,,,,
M3M ANTALYA HILLS PHASE II,RERA-GRG-1521-2023,,https://reratracker.com/m3m-antalya-hills-phase-ii-in-gurugram-by-loon-land-development-limited-rtid3855,M3M,,7669610540,loonlanddevelopmentltd@gmail.com,,,,,79,Gurugram,GURUGRAM,Haryana,,MANESAR,ONGOING,,10.074 (Acre),,,,"SECTOR-79, GURUGRAM, HARYANA",,48x48,,,,,,2.64,2.64,24.74375 (Acre),,,,,,,,
M3M Capital Phase 3,RERA-GRG-1591-2024,,https://reratracker.com/m3m-capital-phase-3-in-gurugram-by-union-buildmart-private-limited-rtid3862,M3M India Pvt Ltd,,9811486979,unionbuildmart0207@gmail.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,0.91875 (Acre),268,,,"SECTOR-113, VILLAGE CHAUMA, GURUGRAM, HARYANA",,48x48,,36,,,,0.712,4.456,15.0625 (Acre),,,,,,,,
M3M CROWN PHASE 1,RERA-GRG-1262-2023,,https://reratracker.com/m3m-crown-phase-1-in-gurugram-by-metro-education-welfare-private-limited-rtid3863,M3M,,9811486979,metroeducation1204@gmail.com,,,,,111,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,15.9938 (Acre),1332,,,SECTOR-111,,48x48,,34,,,,2.92,3.60,11.6022 (Acre),,,,,,,,
M3M ELIE SAAB AT SCDA,RERA-GRG-2048-2025,,https://reratracker.com/m3m-elie-saab-at-scda-in-gurugram-by-metro-education-welfare-private-limited-rtid5246,M3M,,9811486979,metroeducation1204@gmail.com,,,,,111,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,2.7505 (Acre),336,,,"SECTOR-111,GURUGRAM",,48x48,,,,,,4.165,4.182,15.99375 (Acre),,,,,,,,
M3M Golf Hills Phase 2,RERA-GRG-1578-2024,,https://reratracker.com/m3m-golf-hills-phase-2-in-gurugram-by-loon-land-development-limited-rtid3867,M3M,,7669610540,loonlanddevelopmentltd@gmail.com,,,,,79,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,14.64375 (Acre),1309,,,"SECTOR-79 \u0026 79B, GURUGRAM, HARYANA",,48x48,,30,,,,1.381,1.381,75.3458 (Acre),,,,,,,,
M3M International Financial Center,RERA-GRG-809-2021,,https://reratracker.com/m3m-international-financial-center-including-phase-i-ii-in-gurugram-by-gentle-realtors-private-limited-rtid3868,M3M,,9811486979,gentlerealtors@gmail.com,,,,,,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,ONGOING,,4.843 (Acre),,,,"SECTOR-66, GURUGRAM",,48x48,,,,,,3.62,3.62,4.843 (Acre),,,,,,,,
M3M Mansion,RERA-GRG-1547-2024,,https://reratracker.com/m3m-mansion-in-gurugram-by-union-buildmart-private-limited-rtid3872,M3M,,7669610541,Unionbuildmart0207@gmail.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,8.710 (Acre),968,,,"VILLAGE CHAUMA,SECTOR 113,GURUGRAM",,48x48,,32,,,,3.935,3.989,10.225 (Acre),,,,,,,,
M3M Mansion,RERA-GRG-1547-2024,,https://reratracker.com/m3m-mansion-in-gurugram-by-union-buildmart-private-limited-rtid3872,M3M,,7669610541,Unionbuildmart0207@gmail.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,8.710 (Acre),968,,,"VILLAGE CHAUMA,SECTOR 113,GURUGRAM",,48x48,,32,,,,3.935,3.989,10.225 (Acre),,,,,,,,
M3M ELIE SAAB AT SCDA,RERA-GRG-2048-2025,,https://reratracker.com/m3m-elie-saab-at-scda-in-gurugram-by-metro-education-welfare-private-limited-rtid5246,M3M,,9811486979,metroeducation1204@gmail.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,2.7505 (Acre),336,,,"SECTOR-111,GURUGRAM",,48x48,,,,,,4.165,4.182,15.99375 (Acre),,,,,,,,
M3M Opus at M3M Merlin,RERA-GRG-1734-2024,,https://reratracker.com/m3m-opus-at-m3m-merlin-in-gurugram-by-consolidate-realtors-private-limited-rtid3875,M3M India Pvt Ltd,,9811486979,consolidaterealtors@gmail.com,,,,,67,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,1.000 (Acre),134,,,"SECTOR-67, GURUGRAM",,48x48,,34,,,,2.14,2.14,13.344 (Acre),,,,,,,,
M3M St Andrews at SCDA,RERA-GRG-1848-2025,,https://reratracker.com/m3m-st-andrews-at-scda-in-gurugram-by-union-buildmart-private-limited-rtid3873,M3M,,7669610541,Unionbuildmart0207@gmail.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,1.515 (Acre),244,,,"SECTOR 113, VILL CHAUMA,GURUGRAM",,48x48,,32,,,,5.09,5.12,10.225 (Acre),,,,,,,,
Max Estate 360 (Antara),RERA-GRG-1675-2024,,https://reratracker.com/max-estate-360-antara-in-gurugram-by-max-estates-gurgaon-limited-rtid3661,Max Estates,,9810411360,rera@maxestates.in,,,,,36A,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,11.80 (Acre),864,,,"VILLAGE-HARSARU, SECTOR 36-A,",,48x48,,37,,,,1.75,1.75,26.1563 (Acre),,,,,,,,
Max Estate 360 (Antara),RERA-GRG-1675-2024,,https://reratracker.com/max-estate-360-antara-in-gurugram-by-max-estates-gurgaon-limited-rtid3661,Max Estates,,9810411360,rera@maxestates.in,,,,,36A,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,11.80 (Acre),864,,,"VILLAGE-HARSARU, SECTOR 36-A,",,48x48,,37,,,,1.75,1.75,26.1563 (Acre),,,,,,,,
Max Estate 361 (Antara 361),RERA-GRG-2093-2025,,https://reratracker.com/max-estate-361-antara-361-in-gurugram-by-max-estates-gurgaon-two-limited-rtid5292,Max Estates,,9810411360,rera@maxestates.in,,,,,36A,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,14.2944 (Acre),1096,,,"VILLAGE-HARSARU, SECTOR 36",,48x48,,46,,,,3.03,3.03,18.2375 (Acre),,,,,,,,
MRG CROWN,RERA-GRG-1816-2024,,https://reratracker.com/mrg-crown-in-gurugram-by-mrg-group-india-private-limited-rtid3916,MRG Group,,9354182125,compliances@mrggroupindia.com,,,,,106,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,750.219 (Sqr/mtrs),,,,"VILLAGE BABUPUR, SECTOR 106,",,48x48,,,,,,255,264,8.16875 (Sqr/mtrs),,,,,,,,
ORCHID IVY,RERA-GRG-996-2021,,https://reratracker.com/orchid-ivy-in-gurugram-by-m-s-orchid-infrastructure-developers-pvt-ltd-rtid3946,Orchid Infrastructure Developers Pvt. Ltd.,,9312261819,legal@oidpl.com,,,,,51,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,4152.75 (Sqr/mtrs),,,,"M BLOCK, MAYFIELD GARDEN, SECTOR-51, GURGAON, HARYANA",,48x48,,,,,,264,10963.26,331.846 (Sqr/mtrs),,,,,,,,
PARAS FLORET,RERA-GRG-1119-2022,,https://reratracker.com/paras-floret-in-gurugram-by-corona-realtors-private-limited-rtid3968,Paras Buildtech,,9971296622,legal@parasbuildtech.com,,,,,59,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,6.2250 (Acre),,,,SECTOR 59,,48x48,,,,,,1,1,6.2250 (Acre),,,,,,,,
PURI DIPLOMATIC RESIDENCES,RERA-GRG-1527-2024,,https://reratracker.com/puri-diplomatic-residences-in-gurugram-by-puri-construction-pvt-ltd-rtid3997,Puri Construction,,9871471476,diplomaticresidences@puriconstructions.com,,,,,111,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.4112 (Acre),692,,,SECTOR 111,,48x48,,32,,,,5.12,5.12,21.01 (Acre),,,,,,,,
Puri The Aravallis,RERA-GRG-1049-2022,,https://reratracker.com/puri-the-aravallis-in-gurugram-by-puri-construction-private-limited-rtid3999,Puri Construction,,9311990402,aravallis@puriconstructions.com,,,,,61,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,10 (Acre),324,,,"SECTOR 61, VILLAGE ULLAWAS",,48x48,,42,,,,3.25,3.25,10 (Acre),,,,,,,,
Satya Levante Residences,RERA-GRG-2027-2025,,https://reratracker.com/levante-residences-in-gurugram-by-sv-infra-management-solutions-pvt-ltd-formerly-known-as-sv-infra-management-solutions-llp-rtid5393,Satya Group,,9811031434,info@satyadevelopers.com,,,,,104,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,4.65625 (Acre),488,,,"REVENUE ESTATE OF VILLAGE DHANWAPUR SECTOR 104,GURUGRAM",,48x48,,42,,,,4.82,4.82,4.65625 (Acre),,,,,,,,
CITY OF COLOURS NH-8 EXTN.-1,RERA-GRG-1942-2025,,https://reratracker.com/city-of-colours-nh-8-extn-1-in-gurugram-by-signatureglobal-india-limited-rtid5168,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,6.06875 (Acre),,,,"VILLAGE- SIDHRAWALI, GURUGRAM, HARYANA",,48x48,,,,,,1,1,135.725 (Acre),,,,,,,,
Signature Global City of Colours NH8,RERA-GRG-1722-2024,,https://reratracker.com/signature-global-city-of-colours-nh8-in-gurugram-by-signatureglobal-india-limited-rtid3575,Signature Global,,9818046397,compliance@signatureglobal.in,,,,,,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,129.65625 (Acre),,,,"VILLAGE-SIDHRAWALI, GURUGRAM HARYANA",,48x48,,,,,,1,1,129.65625 (Acre),,,,,,,,
Signature Global Cloverdale SPR,RERA-GRG-1961-2025,,https://reratracker.com/signature-global-cloverdale-spr-in-gurugram-by-signatureglobal-india-limited-rtid5164,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,71,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,8.12 (Acre),794,,,"VILLAGE - FAIZALPUR JHARSA, SECTOR-71, GURUGRAM, HARYANA",,48x48,,35,,,,3.15,3.15,22.50 (Acre),,,,,,,,
Signature Global Daxin Vistas,RERA-GRG-1738-2024,,https://reratracker.com/signature-global-daxin-vistas-in-gurugram-by-signatureglobal-business-park-private-limited-rtid3609,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,,Gurugram,GURUGRAM,Haryana,,SOHNA,NEW,,21.9835 (Acre),,,,"VILLAGE- BHONDSI, GHAMROJ \u0026 MAHENDWARA, SOHNA, GURUGRAM, HARYANA",,48x48,,,,,,2,2,125.60 (Acre),,,,,,,,
SIGNATURE GLOBAL CITY 37D,RERA-GRG-863-2021,,https://reratracker.com/signature-global-city-37d-in-gurugram-by-signatureglobal-developers-pvt-ltd-rtid4068,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,37D,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,20.589 (Acre),,,,"VILLAGE GADULI KALAN, SECTOR-37D,  GURUGRAM",,48x48,,,,,,1,1,20.589 (Acre),,,,,,,,
Signature Global DELUXE DXP,RERA-GRG-1507-2023,,https://reratracker.com/signature-global-deluxe-dxp-in-gurugram-by-signatureglobal-business-park-private-limited-rtid3612,Signature Global,,9250785681,compliance@signatureglobal.in,,,,,37D,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,16.65625 (Acre),900,,,"VILLAGE - GADAULI KALAN, SECTOR-37D, GURUGRAM, HARYANA",,48x48,,33,,,,2.5,2.5,16.65625 (Acre),,,,,,,,
Signature Global Sarvam at DXP Estate,RERA-GRG-2083-2025,,https://reratracker.com/signature-global-sarvam-at-dxp-estate-in-gurugram-by-signattureglobal-homes-limited-rtid5344,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,37D,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,13.5656 (Acre),1798,,,"VILLAGE- GADAULI KALAN, SECTOR-37D, GURUGRAM, HARYANA",,48x48,,41,,,,4.5,3.49,13.5656 (Acre),,,,,,,,
Signature Global Titanium SPR,RERA-GRG-1641-2024,,https://reratracker.com/signature-global-titanium-spr-in-gurugram-by-signatureglobal-india-limited-rtid4125,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,71,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,14.3825 (Acre),613,,,"VILLAGE- FAZILPUR JHARSA, SECTOR-71, GURUGRAM, HARYANA",,48x48,,40,,,,1.79,1.87,22.50 (Acre),,,,,,,,
Signature Global Twin Tower DXP,RERA-GRG-1701-2024,,https://reratracker.com/signature-global-twin-tower-dxp-in-gurugram-by-forever-buildtech-private-limited-rtid4126,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,84,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,4.6875 (Acre),312,,,"VILLAGE-HAYATPUR, SECTOR-84, GURUGRAM, HARYANA",,48x48,,45,,,,3.62,3.5,4.6875 (Acre),,,,,,,,
Silverglades Hightown Residences,RERA-GRG-337-2019,,https://reratracker.com/silverglades-hightown-residences-in-gurugram-by-silverglades-infrastructure-private-limited-rtid3763,Silverglades,,9899987678,cs@silverglades.com,,,,,,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,19627.174 (Sqr/mtrs),,,,"REVENUE ESTATE OF VILLAGE SUKHRALI, SECTOR 28",,48x48,,,,,,362,362,19627.174 (Sqr/mtrs),,,,,,,,
\\t M3M Forestia East I,RERA-GRG-2125-2025,,https://reratracker.com/m3m-forestia-east-i-in-gurugram-by-m3m-india-infrastructures-private-limited-rtid5422,M3M,,9289188773,m3mindiainfrastructures@gmail.com,,,,,,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,6.46 (Acre),872,,,"SECTOR M9, M10 AND M11",,48x48,,36,,,,3.608,3.62,139.97375 (Acre),,,,,,,,
SMARTWORLD NATURE'S COURT I,RERA-GRG-2126-2025,,https://reratracker.com/smartworld-nature-s-court-i-in-gurugram-by-svabhumi-realtors-private-limited-rtid5413,Smartworld Developers,,9289188773,swcorporate2021@gmail.com,,,,,,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,8.28 (Acre),1214,,,"SECTOR M9, M10 AND M11",,48x48,,32,,,,2.34,2.37,139.79375 (Acre),,,,,,,,
Smartworld One DXP,RERA-GRG-1217-2022,,https://reratracker.com/smartworld-one-dxp-in-gurugram-by-nourish-developers-private-limited-rtid4107,Smartworld,,9873245649,secretarial@smartworlddevelopers.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,7.94 (Acre),900,,,SEC-113,,48x48,,28,,,,3.41,3.62,16.1125 (Acre),,,,,,,,
Smartworld Sky Arc,RERA-GRG-1723-2024,,https://reratracker.com/smartworld-sky-arc-in-gurugram-by-riverday-infrastructure-private-limited-rtid4138,Smartworld,,9999485956,secretarial@smartworlddevelopers.com,,,,,69,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,6.97635 (Acre),952,,,SECTOR 69,,48x48,,41,,,,3.36,3.62,11.66875 (Acre),,,,,,,,
Smartworld Edition,RERA-GRG-1395-2023,,https://reratracker.com/smartworld-edition-in-gurugram-by-etsy-realcon-private-limited-rtid4140,Smartworld,,9810719490,swcorporate2021@gmail.com,,,,,66,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,10.70 (Acre),956,,,"SECTOR-66, GURUGRAM, HARYANA",,48x48,,42,,,,4.453,4.453,10.70 (Acre),,,,,,,,
Sobha Crescent,RERA-GRG-2185-2026,,https://reratracker.com/sobha-crescent-in-gurugram-by-sobha-limited-rtid5568,SOBHA,,9205028885,haryana.rera@sobha.com,,,,,63A,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,4.960 (Acre),336,,,"SECTOR 63A, VILLAGE BEHRAMPUR, GURUGRAM MANESAR URBAN COMPLEX",,48x48,,40,,,,1.27,2.62,11.9968 (Acre),2026-04-08,,,,,,,
SOBHA ALTUS,RERA-GRG-1564-2024,,https://reratracker.com/sobha-altus-in-gurugram-by-sobha-limited-rtid4141,SOBHA,,9845014688,haryana.rera@sobha.com,,,,,106,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.51 (Acre),293,,,"REVENUE ESTATE OF VILLAGE PAWALA KHUSRUPUR, SECTOR-106, GURUGRAM",,48x48,,28,,,,3.62,3.62,5.51 (Acre),,,,,,,,
Sobha Aranya,RERA-GRG-1565-2024,,https://reratracker.com/sobha-aranya-in-gurugram-by-sobha-limited-rtid4142,SOBHA,,9845014688,haryana.rera@sobha.com,,,,,80,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,14.81747 (Acre),524,,,"SECTOR-80, REVENUE ESTATE OF VILLAGE NAURANGPUR, GURUGRAM",,48x48,,46,,,,1.25,1.25,31.28125 (Acre),,,,,,,,
SOBHA STRADA,RERA-GRG-2061-2025,,https://reratracker.com/sobha-strada-in-gurugram-by-sobha-commercial-private-limited-rtid5281,SOBHA,,9205028885,treasury.gurgaon@sobha.com,,,,,106,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,2.03 (Acre),251,,,"SECTOR 106, VILLAGE PAWALA KHUSRUPUR, GURUGRAM",,48x48,,31,,,,3.00,3.00,2.03 (Acre),,,,,,,,
Shapoorji The Dualis,RERA-GRG-1880-2025,,https://reratracker.com/shapoorji-the-dualis-in-gurugram-by-spre-gurugram-properties-pvt-ltd-sector-46-rtid5134,Shapoorji Pallonji,,9167645170,jitesh.bonde@shapoorji.com,,,,,46,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,7037.79 (Sqr/mtrs),198,,,"PLOT NO. 1, URBAN ESTATE GURUGRAM, SECTOR 46, GURUGRAM HARYANA, 122022",,48x48,,27,,,,5.12,5.12,7037.79 (Sqr/mtrs),,,,,,,,
Suncity Monarch Residences,RERA-GRG-2100-2025,,https://reratracker.com/suncity-monarch-residences-in-gurugram-by-dvok-buildcon-llp-rtid5423,Suncity Projects,,9811987447,compliance@suncityprojects.com,,,,,78,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,9.506 (Acre),900,,,"SECTOR 78, VILLAGE SHIKOPUR",,48x48,,45,,,,1.978,1.978,20.625 (Acre),2026-03-02,,,,,,,
TARC ISHVA,RERA-GRG-1704-2024,,https://reratracker.com/tarc-ishva-in-gurugram-by-tarc-limited-rtid4187,TARC,,9810585435,ajay.pathania@tarc.in,,,,,63A,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,6.9500 (Acre),386,,,SECTOR 63A GURUGRAM,,48x48,,38,,,,3.149,3.15,6.9500 (Acre),,,,,,,,
TARC ISHVA,RERA-GRG-1704-2024,,https://reratracker.com/tarc-ishva-in-gurugram-by-tarc-limited-rtid4187,TARC,,9810585435,ajay.pathania@tarc.in,,,,,63A,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,6.9500 (Acre),386,,,SECTOR 63A GURUGRAM,,48x48,,38,,,,3.149,3.15,6.9500 (Acre),,,,,,,,
Tata La Vida,RERA-GRG-326-2019,,https://reratracker.com/tata-la-vida-in-gurugram-by-sector-113-gatevida-developers-pvt-ltd-rtid3834,Tata Housing Development Co,,9920998893,reracompliance@tatahousing.com,,,,,113,Gurugram,GURUGRAM,Haryana,,GURGAON,ONGOING,,5.989 (Acre),,,,"VILLAGE BAJGHERA SECTOR-112/113,GURUGRAM",,48x48,,,,,,1.7332,1.75,10.175 (Acre),,,,,,,,
TONINO LAMBORGHINI RESIDENCES GURUGRAM,RERA-GRG-2186-2026,,https://reratracker.com/tonino-lamborghini-residences-gurugram-in-gurugram-by-signatureglobal-india-limited-rtid5576,Signature Global,,9810899381,compliance@signatureglobal.in,,,,,71,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,12.40 (Acre),812,,,"VILLAGE- FAZILPUR JHARSA, SECTOR-71, GURUGRAM, HARYANA",,48x48,,40,,,,2.53,2.65,12.40 (Acre),2026-04-17,,,,,,,
Trehan One Good Earth,RERA-GRG-960-2021,,https://reratracker.com/trehan-one-good-earth-in-gurugram-by-raj-buildwell-private-limited-rtid3941,Trehan Group,,9811087829,info@ilcinfra.com,,,,,71,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,13.6775 (Acre),,,,"VILLAGE-FAZILPUR JHARSA, DISTRICT-GURUGRAM IN RESIDENTIAL SECTOR-71- GURGAON MANESAR URBAN COMPLEX, GURUGRAM",,48x48,,,,,,0,0,13.6775 (Acre),,,,,,,,
